,Self_Reported_Stress_Level,Final_Grade,Gender_Male,Gender_Other,Preferred_Learning_Style_Kinesthetic,Preferred_Learning_Style_Reading/Writing,Preferred_Learning_Style_Visual,Use_of_Educational_Tech_Yes,Participation_in_Discussions_Yes,Age,Study_Hours_per_Week,Online_Courses_Completed,Assignment_Completion_Rate (%),Exam_Score (%),Attendance_Rate (%),Time_Spent_on_Social_Media (hours/week),Sleep_Hours_per_Night
14,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,22.0,10.0,17.0,67.0,71.0,55.0,28.0,8.0
15,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,28.0,13.0,85.0,90.0,76.0,5.0,8.0
16,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,19.0,11.0,20.0,81.0,93.0,93.0,6.0,9.0
17,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,8.0,9.0,52.0,97.0,69.0,1.0,5.0
18,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,22.0,11.0,11.0,50.0,74.0,96.0,13.0,7.0
19,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,28.0,19.0,50.0,64.0,80.0,20.0,8.0
20,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,30.0,0.0,89.0,97.0,90.0,26.0,10.0
21,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20.0,48.0,16.0,81.0,76.0,82.0,29.0,9.0
22,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0,14.0,4.0,90.0,75.0,73.0,12.0,9.0
23,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,41.0,6.0,68.0,93.0,100.0,23.0,7.0
24,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,36.0,3.0,96.0,83.0,66.0,8.0,7.0
25,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,22.0,38.0,7.0,91.0,61.0,50.0,19.0,10.0
26,1.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,19.0,48.0,1.0,86.0,52.0,86.0,30.0,9.0
27,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,40.0,16.0,100.0,63.0,74.0,29.0,7.0
28,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,24.0,39.0,9.0,79.0,90.0,91.0,21.0,6.0
29,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,29.0,39.0,5.0,76.0,41.0,79.0,20.0,5.0
30,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,23.0,3.0,59.0,57.0,81.0,9.0,5.0
31,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,6.0,18.0,85.0,80.0,76.0,16.0,7.0
32,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,25.0,12.0,55.0,63.0,85.0,14.0,4.0
33,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,25.0,6.0,10.0,96.0,100.0,71.0,2.0,7.0
34,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,28.0,32.0,5.0,53.0,54.0,96.0,0.0,10.0
35,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,41.0,12.0,57.0,60.0,67.0,15.0,5.0
36,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,26.0,26.0,3.0,53.0,48.0,76.0,19.0,4.0
37,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,20.0,11.0,3.0,58.0,73.0,62.0,22.0,7.0
38,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,21.0,20.0,1.0,64.0,99.0,62.0,2.0,4.0
39,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,24.0,12.0,8.0,98.0,65.0,58.0,0.0,5.0
40,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,41.0,14.0,65.0,56.0,74.0,26.0,9.0
41,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,46.0,8.0,77.0,51.0,88.0,23.0,5.0
42,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,25.0,24.0,19.0,90.0,93.0,54.0,17.0,9.0
43,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,22.0,38.0,5.0,96.0,54.0,92.0,16.0,5.0
44,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,20.0,45.0,9.0,78.0,42.0,58.0,24.0,8.0
45,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,28.0,6.0,13.0,81.0,92.0,90.0,6.0,10.0
46,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,23.0,10.0,94.0,42.0,65.0,11.0,6.0
47,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,25.0,35.0,16.0,50.0,83.0,88.0,8.0,4.0
48,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,19.0,12.0,5.0,50.0,78.0,66.0,0.0,8.0
49,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,38.0,6.0,88.0,76.0,100.0,12.0,9.0
50,0.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,19.0,44.0,17.0,98.0,44.0,66.0,4.0,4.0
51,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,33.0,9.0,99.0,87.0,79.0,21.0,7.0
52,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,26.0,3.0,62.0,64.0,71.0,10.0,6.0
53,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,19.0,47.0,2.0,52.0,44.0,84.0,11.0,10.0
54,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,25.0,39.0,15.0,88.0,89.0,63.0,5.0,5.0
55,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,21.0,1.0,89.0,59.0,74.0,18.0,8.0
56,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,5.0,19.0,71.0,69.0,77.0,30.0,6.0
57,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,29.0,19.0,5.0,53.0,85.0,71.0,29.0,9.0
58,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,29.0,36.0,17.0,52.0,46.0,51.0,27.0,7.0
59,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,14.0,2.0,52.0,83.0,77.0,19.0,9.0
60,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,25.0,41.0,6.0,59.0,69.0,53.0,11.0,6.0
61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,26.0,32.0,7.0,71.0,94.0,89.0,18.0,10.0
62,2.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,18.0,21.0,12.0,100.0,55.0,75.0,28.0,4.0
63,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,20.0,21.0,10.0,72.0,44.0,83.0,12.0,6.0
64,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,24.0,31.0,6.0,88.0,60.0,77.0,11.0,6.0
65,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,9.0,11.0,88.0,95.0,87.0,23.0,5.0
66,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,24.0,12.0,14.0,57.0,57.0,73.0,4.0,7.0
67,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,42.0,11.0,83.0,66.0,60.0,21.0,7.0
68,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,11.0,3.0,91.0,73.0,73.0,2.0,9.0
69,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,35.0,2.0,96.0,54.0,96.0,5.0,9.0
70,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,22.0,9.0,7.0,53.0,72.0,87.0,10.0,8.0
71,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,20.0,46.0,13.0,55.0,45.0,52.0,7.0,7.0
72,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,23.0,9.0,3.0,53.0,83.0,78.0,2.0,8.0
73,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,19.0,7.0,12.0,79.0,76.0,72.0,10.0,5.0
74,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,22.0,6.0,75.0,88.0,68.0,19.0,9.0
75,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,29.0,34.0,3.0,53.0,47.0,99.0,27.0,6.0
76,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,31.0,11.0,76.0,80.0,69.0,24.0,5.0
77,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,23.0,38.0,0.0,62.0,93.0,96.0,5.0,6.0
78,0.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,26.0,39.0,15.0,88.0,53.0,57.0,13.0,8.0
79,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,25.0,23.0,5.0,62.0,76.0,61.0,0.0,6.0
80,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,24.0,43.0,16.0,61.0,54.0,63.0,23.0,8.0
81,2.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20.0,34.0,18.0,76.0,57.0,61.0,25.0,5.0
82,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,12.0,8.0,75.0,70.0,52.0,10.0,8.0
83,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,28.0,28.0,0.0,98.0,99.0,99.0,1.0,4.0
84,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,18.0,23.0,0.0,89.0,81.0,70.0,13.0,9.0
85,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,35.0,9.0,90.0,61.0,92.0,2.0,8.0
86,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,20.0,5.0,14.0,71.0,44.0,61.0,2.0,5.0
87,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,11.0,4.0,74.0,59.0,80.0,18.0,4.0
88,2.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,24.0,24.0,9.0,55.0,51.0,95.0,2.0,10.0
89,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,19.0,15.0,15.0,61.0,94.0,54.0,20.0,10.0
90,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,40.0,15.0,58.0,88.0,87.0,28.0,7.0
91,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,12.0,19.0,58.0,92.0,86.0,26.0,5.0
92,2.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,26.0,8.0,17.0,63.0,43.0,72.0,26.0,4.0
93,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.0,12.0,15.0,57.0,74.0,57.0,13.0,8.0
94,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,29.0,22.0,6.0,100.0,61.0,87.0,19.0,5.0
95,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,19.0,25.0,12.0,80.0,94.0,52.0,15.0,10.0
96,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,9.0,81.0,75.0,75.0,19.0,9.0
97,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,39.0,13.0,100.0,100.0,96.0,15.0,8.0
98,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,34.0,17.0,86.0,44.0,95.0,12.0,9.0
99,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,24.0,30.0,7.0,80.0,93.0,80.0,1.0,7.0
100,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,11.0,10.0,63.0,47.0,81.0,0.0,4.0
101,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,26.0,16.0,14.0,89.0,83.0,59.0,12.0,4.0
102,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,20.0,47.0,5.0,73.0,68.0,59.0,29.0,10.0
103,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,49.0,6.0,91.0,55.0,59.0,19.0,8.0
104,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,26.0,16.0,19.0,54.0,55.0,62.0,15.0,5.0
105,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,19.0,38.0,0.0,74.0,40.0,68.0,27.0,9.0
106,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,22.0,41.0,18.0,56.0,54.0,81.0,7.0,6.0
107,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.0,46.0,17.0,54.0,71.0,78.0,26.0,5.0
108,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,5.0,20.0,63.0,84.0,54.0,14.0,8.0
109,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0,23.0,7.0,61.0,98.0,50.0,4.0,4.0
110,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,10.0,17.0,52.0,61.0,51.0,17.0,4.0
111,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,45.0,20.0,75.0,42.0,92.0,28.0,6.0
112,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,48.0,6.0,66.0,78.0,86.0,14.0,7.0
113,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,27.0,31.0,1.0,79.0,57.0,58.0,20.0,7.0
114,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,24.0,33.0,18.0,59.0,62.0,69.0,8.0,10.0
115,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,19.0,23.0,6.0,56.0,59.0,81.0,27.0,10.0
116,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,23.0,2.0,76.0,89.0,98.0,28.0,10.0
117,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,27.0,13.0,5.0,79.0,63.0,80.0,5.0,8.0
118,0.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,36.0,0.0,52.0,48.0,68.0,15.0,8.0
119,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,16.0,10.0,67.0,57.0,55.0,30.0,10.0
120,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,15.0,16.0,97.0,95.0,72.0,4.0,4.0
121,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,29.0,26.0,0.0,73.0,65.0,79.0,2.0,8.0
122,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,24.0,10.0,2.0,61.0,40.0,75.0,23.0,5.0
123,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,25.0,30.0,4.0,58.0,81.0,57.0,27.0,8.0
124,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,48.0,8.0,89.0,96.0,61.0,11.0,6.0
125,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,25.0,24.0,2.0,73.0,79.0,70.0,15.0,7.0
126,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,22.0,39.0,6.0,64.0,74.0,52.0,20.0,4.0
127,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,29.0,19.0,99.0,83.0,92.0,4.0,8.0
128,2.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,26.0,40.0,2.0,91.0,59.0,61.0,23.0,7.0
129,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,29.0,30.0,17.0,92.0,77.0,52.0,2.0,7.0
130,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,14.0,16.0,89.0,73.0,67.0,6.0,5.0
131,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,28.0,32.0,2.0,66.0,79.0,61.0,20.0,8.0
132,0.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,21.0,10.0,4.0,58.0,58.0,88.0,5.0,4.0
133,2.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0,15.0,0.0,97.0,64.0,57.0,7.0,9.0
134,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,20.0,11.0,17.0,95.0,97.0,92.0,4.0,10.0
135,0.0,3.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,28.0,27.0,14.0,83.0,45.0,74.0,9.0,9.0
136,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,27.0,12.0,5.0,68.0,87.0,52.0,19.0,8.0
137,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,18.0,14.0,2.0,84.0,80.0,84.0,7.0,9.0
138,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21.0,42.0,5.0,53.0,84.0,93.0,16.0,4.0
139,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,27.0,40.0,19.0,60.0,83.0,57.0,21.0,10.0
140,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,21.0,11.0,79.0,56.0,84.0,13.0,5.0
141,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,27.0,17.0,6.0,100.0,68.0,96.0,13.0,9.0
142,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,43.0,14.0,67.0,83.0,80.0,15.0,7.0
143,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23.0,7.0,11.0,73.0,95.0,59.0,8.0,8.0
144,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,23.0,14.0,89.0,70.0,96.0,1.0,6.0
145,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,12.0,4.0,76.0,44.0,93.0,0.0,4.0
146,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,20.0,27.0,14.0,63.0,45.0,73.0,27.0,6.0
147,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,17.0,18.0,93.0,92.0,53.0,8.0,7.0
148,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,25.0,42.0,8.0,70.0,88.0,86.0,19.0,8.0
149,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,18.0,35.0,1.0,60.0,76.0,85.0,18.0,6.0
150,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,20.0,37.0,13.0,52.0,55.0,80.0,5.0,7.0
151,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,16.0,2.0,50.0,96.0,68.0,11.0,5.0
152,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,28.0,20.0,11.0,93.0,59.0,96.0,16.0,5.0
153,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,23.0,30.0,18.0,68.0,80.0,77.0,23.0,5.0
154,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,21.0,30.0,10.0,68.0,53.0,69.0,13.0,4.0
155,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,46.0,19.0,91.0,92.0,91.0,15.0,8.0
156,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,26.0,36.0,11.0,60.0,78.0,97.0,18.0,4.0
157,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,20.0,45.0,14.0,62.0,74.0,58.0,19.0,4.0
158,2.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,11.0,8.0,89.0,48.0,52.0,2.0,5.0
159,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,23.0,42.0,8.0,84.0,54.0,55.0,13.0,9.0
160,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,29.0,15.0,9.0,89.0,71.0,51.0,11.0,10.0
161,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,27.0,29.0,18.0,94.0,98.0,57.0,29.0,9.0
162,2.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,18.0,6.0,4.0,50.0,46.0,97.0,0.0,4.0
163,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,6.0,8.0,61.0,63.0,85.0,22.0,7.0
164,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,47.0,11.0,56.0,72.0,52.0,7.0,9.0
165,2.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,25.0,20.0,10.0,61.0,59.0,98.0,21.0,4.0
166,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,22.0,10.0,15.0,63.0,80.0,80.0,19.0,4.0
167,0.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,20.0,49.0,3.0,69.0,47.0,56.0,6.0,9.0
168,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,21.0,24.0,0.0,71.0,78.0,74.0,12.0,6.0
169,1.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,28.0,40.0,19.0,90.0,44.0,74.0,18.0,9.0
170,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,29.0,8.0,1.0,91.0,92.0,83.0,3.0,10.0
171,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,22.0,5.0,3.0,86.0,61.0,96.0,7.0,4.0
172,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,35.0,8.0,81.0,53.0,76.0,22.0,4.0
173,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,21.0,9.0,72.0,45.0,98.0,14.0,6.0
174,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,27.0,43.0,11.0,66.0,80.0,99.0,2.0,6.0
175,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,18.0,16.0,20.0,76.0,65.0,51.0,15.0,9.0
176,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,24.0,49.0,7.0,64.0,53.0,63.0,9.0,6.0
177,1.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,19.0,27.0,9.0,53.0,41.0,64.0,1.0,5.0
178,2.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,28.0,18.0,12.0,74.0,73.0,93.0,21.0,10.0
179,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,29.0,31.0,0.0,80.0,94.0,61.0,5.0,9.0
180,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,21.0,20.0,19.0,59.0,53.0,74.0,22.0,4.0
181,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,28.0,39.0,3.0,87.0,77.0,89.0,8.0,4.0
182,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,27.0,26.0,9.0,51.0,65.0,67.0,16.0,6.0
183,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,39.0,13.0,70.0,75.0,82.0,4.0,10.0
184,2.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,23.0,28.0,12.0,65.0,46.0,55.0,6.0,4.0
185,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,18.0,41.0,6.0,61.0,87.0,70.0,29.0,8.0
186,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,18.0,21.0,8.0,87.0,48.0,55.0,30.0,5.0
187,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,8.0,2.0,88.0,96.0,74.0,6.0,6.0
188,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,21.0,26.0,3.0,62.0,81.0,90.0,0.0,10.0
189,1.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,22.0,32.0,8.0,89.0,48.0,60.0,29.0,4.0
190,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,23.0,13.0,16.0,95.0,86.0,51.0,22.0,9.0
191,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,24.0,34.0,13.0,50.0,79.0,59.0,13.0,7.0
192,2.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,23.0,17.0,18.0,85.0,54.0,70.0,12.0,4.0
